"TARGSITEID","SITEID","SAMPLEID","HgCOMP","AREA_SQKM","SAMPLEID.MRG"
"TS0001",2007190633,2007190633002,15.4569,1349,"2007190633002"
"TS0001",2007190633,2007190633001,8.6033,1349,"2007190633001"
"TS0002",2007191248,2007191248001,7.9336,1529,"2007191248001"
"TS0002",2007191248,2007191248002,6.8766,1529,"2007191248002"
"TS0003",2007190844,2007190844001,48.4552,1275,"2007190844001"
"TS0003",2007190844,2007190844002,21.0676,1275,"2007190844002"
"TS0004",2007190427,2007190427001,37.4979,2385,"2007190427001"
"TS0005",2007191155,2007191155002,13.1182,1105,"2007191155002"
"TS0005",2007191155,2007191155001,7.2693,1105,"2007191155001"
"TS0006",2007190552,2007190552001,45.9241,1428,"2007190552001"
"TS0006",2007190552,2007190552002,47.7796,1428,"2007190552002"
"TS0006",2007190675,2007190675002,54.8959,1428,"2007190675002"
"TS0007",2007190224,2007190224001,25.9361,1265,"2007190224001"
"TS0007",2007190224,2007190224002,68.21225,1265,"2007190224002"
"TS0008",2007190763,2007190763001,28.56925,3231,"2007190763001"
"TS0008",2007190763,2007190763002,30.0525,3231,"2007190763002"
"TS0009",2007190599,2007190599001,13.6646,2283,"2007190599001"
"TS0009",2007190599,2007190599002,17.6404,2283,"2007190599002"
"TS0010",2007190888,2007190888001,35.1749,7060,"2007190888001"
"TS0010",2007190888,2007190888002,26.5524,7060,"2007190888002"
"TS0011",2007191511,2007191511001,36.0156,1710,"2007191511001"
"TS0012",2007191167,2007191167002,30.5938,1041,"2007191167002"
"TS0012",2007191167,2007191167001,44.734,1041,"2007191167001"
"TS0013",2007191310,2007191310001,36.0629,1541,"2007191310001"
"TS0013",2007191310,2007191310002,54.2335,1541,"2007191310002"
"TS0014",2007191143,2007191143001,52.8754,1939,"2007191143001"
"TS0014",2007191143,2007191143002,70.9357,1939,"2007191143002"
"TS0015",2007190809,2007190809002,60.6168,1252,"2007190809002"
"TS0015",2007190809,2007190809001,54.8877,1252,"2007190809001"
"TS0016",2007191403,2007191403002,41.0089,1542,"2007191403002"
"TS0016",2007191403,2007191403001,36.2032,1542,"2007191403001"
"TS0017",2007191319,2007191319002,2.8284,2818,"2007191319002"
"TS0017",2007191319,2007191319001,4.2619,2818,"2007191319001"
"TS0018",2007191252,2007191252002,12.394,1245,"2007191252002"
"TS0018",2007191252,2007191252001,6.9831,1245,"2007191252001"
"TS0019",2007190131,2007190131001,29.0268,1797,"2007190131001"
"TS0019",2007190131,2007190131002,33.7677,1797,"2007190131002"
"TS0020",2007191318,2007191318002,51.8357,1580,"2007191318002"
"TS0020",2007190495,2007190495002,52.9089,1580,"2007190495002"
"TS0020",2007190495,2007190495001,39.7623,1580,"2007190495001"
"TS0020",2007191318,2007191318001,43.31905,1580,"2007191318001"
"TS0021",2007190949,2007190949002,14.53415,5223,"2007190949002"
"TS0021",2007191504,2007191504002,21.6849,5223,"2007191504002"
"TS0021",2007190949,2007190949001,19.3253,5223,"2007190949001"
"TS0021",2007191504,2007191504001,14.404,5223,"2007191504001"
"TS0022",2007190466,2007190466001,18.4026,6833,"2007190466001"
"TS0022",2007190466,2007190466002,4.3012,6833,"2007190466002"
"TS0023",2007190814,2007190814002,6.35975,4318,"2007190814002"
"TS0024",2007190907,2007190907001,32.3783,3103,"2007190907001"
"TS0024",2007190907,2007190907002,32.2403,3103,"2007190907002"
"TS0025",2007190870,2007190870002,27.3675,2900,"2007190870002"
"TS0025",2007190870,2007190870001,23.2149,2900,"2007190870001"
"TS0026",2007190164,2007190164001,52.1746,2136,"2007190164001"
"TS0027",2007191070,2007191070001,38.2323,4407,"2007191070001"
"TS0027",2007191070,2007191070002,88.03785,4407,"2007191070002"
"TS0028",2007190187,2007190187002,28.7549,6170,"2007190187002"
"TS0028",2007190187,2007190187001,39.9525,6170,"2007190187001"
"TS0029",2007190195,2007190195002,30.7561,1959,"2007190195002"
"TS0030",2007191407,2007191407001,38.2298,11533,"2007191407001"
